AÑO,ALCALDIA,POBLACION,MEAN_DIST,EST_TOTAL,ZOC_DIST
1984,Tlalpan,415202,2165.296968,0,12048.4089
1985,Tlalpan,426759,2147.433637,0,12048.4089
1986,Tlalpan,438316,2147.433637,0,12048.4089
1987,Tlalpan,449873,2143.685504,0,12048.4089
1988,Tlalpan,461430,2143.685504,0,12048.4089
1989,Tlalpan,472987,2143.685504,0,12048.4089
1990,Tlalpan,484544,2143.685504,0,12048.4089
1991,Tlalpan,498114.2,2143.685504,0,12048.4089
1992,Tlalpan,511684.4,2143.685504,0,12048.4089
1993,Tlalpan,525254.6,2143.685504,0,12048.4089
1994,Tlalpan,538824.8,2124.488066,0,12048.4089
1995,Tlalpan,552395,2124.488066,0,12048.4089
1996,Tlalpan,558195.4,2124.488066,0,12048.4089
1997,Tlalpan,563995.8,2124.488066,0,12048.4089
1998,Tlalpan,569796.2,2124.488066,0,12048.4089
1999,Tlalpan,575596.6,2124.488066,0,12048.4089
2000,Tlalpan,581397,2124.488066,0,12048.4089
2001,Tlalpan,586626.6,2124.488066,0,12048.4089
2002,Tlalpan,591856.2,2124.488066,0,12048.4089
2003,Tlalpan,597085.8,2124.488066,0,12048.4089
2004,Tlalpan,602315.4,2124.488066,0,12048.4089
2005,Tlalpan,607545,2078.663428,0,12048.4089
2006,Tlalpan,616149.4,2078.663428,0,12048.4089
2007,Tlalpan,624753.8,2078.663428,0,12048.4089
2008,Tlalpan,633358.2,1805.747738,7,12048.4089
2009,Tlalpan,641962.6,1805.747738,7,12048.4089
2010,Tlalpan,650567,1805.747738,7,12048.4089
2011,Tlalpan,655874.4,1805.747738,7,12048.4089
2012,Tlalpan,661181.8,1775.26019,7,12048.4089
2013,Tlalpan,666489.2,1775.26019,7,12048.4089
2014,Tlalpan,671796.6,1775.26019,7,12048.4089
2015,Tlalpan,677104,1775.26019,7,12048.4089
2016,Tlalpan,681668.8,1775.26019,7,12048.4089
2017,Tlalpan,686233.6,1775.26019,7,12048.4089
2018,Tlalpan,690798.4,1775.26019,7,12048.4089
2019,Tlalpan,695363.2,1775.26019,7,12048.4089
2020,Tlalpan,699928,1763.259506,7,12048.4089
2021,Tlalpan,704492.8,1738.004292,9,12048.4089
1969,Tláhuac,53968.6,7481.940362,0,13042.9866
1970,Tláhuac,62419,7481.940362,0,13042.9866
1971,Tláhuac,70869.4,7481.940362,0,13042.9866
1972,Tláhuac,79319.8,7481.940362,0,13042.9866
1973,Tláhuac,87770.2,7481.940362,0,13042.9866
1974,Tláhuac,96220.6,7481.940362,0,13042.9866
1975,Tláhuac,104671,7481.940362,0,13042.9866
1976,Tláhuac,113121.4,7481.940362,0,13042.9866
1977,Tláhuac,121571.8,7481.940362,0,13042.9866
1978,Tláhuac,130022.2,7481.940362,0,13042.9866
1979,Tláhuac,138472.6,7481.940362,0,13042.9866
1980,Tláhuac,146923,7481.940362,0,13042.9866
1981,Tláhuac,153132,6702.510008,0,13042.9866
1982,Tláhuac,159341,6702.510008,0,13042.9866
1983,Tláhuac,165550,6702.510008,0,13042.9866
1984,Tláhuac,171759,6702.510008,0,13042.9866
1985,Tláhuac,177968,6702.510008,0,13042.9866
1986,Tláhuac,184177,6702.510008,0,13042.9866
1987,Tláhuac,190386,6497.377459,0,13042.9866
1988,Tláhuac,196595,6497.377459,0,13042.9866
1989,Tláhuac,202804,6497.377459,0,13042.9866
1990,Tláhuac,209013,6497.377459,0,13042.9866
1991,Tláhuac,218724.8,1752.177688,0,13042.9866
1992,Tláhuac,228436.6,1752.177688,0,13042.9866
1993,Tláhuac,238148.4,1752.177688,0,13042.9866
1994,Tláhuac,247860.2,1655.903901,0,13042.9866
1995,Tláhuac,257572,1655.903901,0,13042.9866
